FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 5 Average,Cluster 5 Log2 Fold Change,Cluster 5 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value,Cluster 7 Average,Cluster 7 Log2 Fold Change,Cluster 7 P-Value,Cluster 8 Average,Cluster 8 Log2 Fold Change,Cluster 8 P-Value,Cluster 9 Average,Cluster 9 Log2 Fold Change,Cluster 9 P-Value
ENSG00000111341,MGP,196.5097338,3.014440983,1.14E-55,5.963639914,-4.005205068,1.37E-45,35.04340436,-1.186563905,0.000653894,58.36704981,-0.356273212,1,4.884136995,-4.044327303,2.17E-16,94.75511554,0.383377882,1,14.25709072,-2.468622988,1.43E-06,7.092168046,-3.440687301,0.000111404,51.83145804,-0.531119502,1
ENSG00000163631,ALB,7.052030358,3.348081673,1.44E-40,0.187082151,-4.123984014,4.15E-27,0.930407734,-1.568746897,0.001406433,1.140311393,-1.17363568,1,0.15748225,-4.108263699,7.70E-09,2.465770655,-0.034977181,1,0.463869466,-2.531821407,0.00159193,0.287150763,-3.172011666,0.104168881,2.386475291,-0.085116039,1
ENSG00000108417,KRT37,4.001262172,2.508096108,1.17E-37,0.148238823,-3.842636095,1.87E-39,0.886451463,-0.994468232,0.007969843,1.736863186,0.073734893,1,0.10717542,-4.044019787,2.40E-14,2.033692266,0.320754685,1,0.235695837,-2.895898487,1.53E-07,0.154970253,-3.434067353,0.001097256,4.171584129,1.402677373,0.281358041
ENSG00000196542,SPTSSB,1.293671629,2.528511856,2.07E-36,0.074515772,-3.174053532,9.76E-27,0.244689908,-1.225997589,0.001206395,0.427616772,-0.313628358,1,0.135609715,-2.050896632,9.21E-05,0.73420839,0.50394957,1,0.162981164,-1.767739097,0.004101318,0.082043075,-2.676686944,0.039495351,0.69631905,0.408581924,1
ENSG00000169906,S100G,11.40525228,2.309764025,1.52E-32,0.328979206,-4.279318073,2.29E-48,2.02345367,-1.40495669,4.42E-05,4.614037765,-0.099993567,1,0.293091965,-4.186038397,4.21E-16,11.49718359,1.350486296,0.013253672,3.166849381,-0.67851724,0.416701594,0.419331273,-3.599015853,0.000264069,4.753960062,-0.056261342,1
ENSG00000110484,SCGB2A2,17.94927164,2.297996611,1.27E-29,0.564417336,-4.158055144,4.53E-43,3.689396336,-1.184029443,0.001307139,7.343394201,-0.087901353,1,0.562124141,-3.908125879,2.32E-13,18.46241717,1.37961831,0.016464029,3.603137419,-1.171570457,0.076465623,0.464910759,-4.111389588,0.000108996,8.26720618,0.087543459,1
ENSG00000134533,RERG,3.577694489,2.181746361,2.16E-29,0.233852688,-3.11267542,9.11E-30,0.671065736,-1.364475317,0.00011355,1.203662026,-0.415309832,1,0.174980277,-3.287944902,5.08E-11,2.650947107,0.797969786,0.762279957,1.644856052,0.052625416,1,0.287150763,-2.503732853,0.037538733,1.899051956,0.261726127,1
ENSG00000254695,AC087379.2,1.184908636,2.260249368,6.49E-27,0.043599654,-3.916230366,5.02E-33,0.265202834,-1.059132844,0.00864053,0.432895992,-0.253729969,1,0.052494083,-3.363694578,5.08E-09,1.448924522,1.662334005,0.000409311,0.095281296,-2.500048955,5.68E-05,0.036463589,-3.719264361,0.003054353,0.468432816,-0.134896075,1
ENSG00000159399,HK2,1.786145059,2.0654727,1.66E-25,0.160129637,-2.678907738,1.74E-22,0.309159105,-1.527864543,1.98E-05,0.543759599,-0.599186871,1,0.369645836,-1.213594684,0.035340513,1.033089681,0.362971484,1,1.038064643,0.378593869,0.633628661,0.200549739,-2.047979682,0.150284312,0.670998358,-0.287586441,1
ENSG00000188488,SERPINA5,1.427429844,2.028215271,2.45E-24,0.112566379,-2.884313801,1.12E-24,0.257876789,-1.476223008,4.44E-05,0.644064768,-0.030700426,1,0.091864646,-2.928467199,1.38E-08,0.799182584,0.298453815,1,0.962842567,0.603422882,0.309533283,0.127622561,-2.375673133,0.068872043,0.917875112,0.496290508,1
ENSG00000124935,SCGB1D2,16.39821677,2.08959588,2.74E-24,0.409044024,-4.571127499,2.28E-48,3.915038527,-1.031212995,0.005965933,7.734056437,0.048898245,1,0.505255551,-4.004890308,9.10E-14,20.71702169,1.643492699,0.000579628,3.625704042,-1.102957864,0.106396294,0.455794862,-4.082517548,0.000110021,8.507752761,0.189423505,1
